EAN_ID;Patrimonium Type;Patrimonium Functietype;Meetmethode;Richting
1247;Gebouw;Bibliotheek;Continu;Afname
298;;;Continu;Afname
1251;Gebouw;OCMW Administratief centrum;Continu;Afname
1254;Gebouw;Administratief centrum;Continu;Afname
1255;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
21;Gebouw;Cultureel centrum;Continu;Afname
1259;;;Continu;Afname
301;;;Continu;Afname
1263;;;Continu;Afname
302;Gebouw;Andere gebouwen;Continu;Afname
1267;;;Continu;Afname
625;Gebouw;Stadion;Continu;Afname
1271;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
143;Andere;Kast;Continu;Afname
1275;Gebouw;Werkplaats;Continu;Afname
1279;Gebouw;Academie;Continu;Afname
1283;;;Continu;Afname
633;Gebouw;Administratief centrum;Continu;Afname
1288;Gebouw;Administratief centrum;Continu;Afname
64;;;Continu;Afname
636;;;Continu;Afname
637;Gebouw;Algemene middelbare school;Continu;Afname
1295;Gebouw;Andere gebouwen;Continu;Afname
310;Gebouw;OCMW Administratief centrum;Continu;Afname
640;Gebouw;Algemene middelbare school;Continu;Afname
641;;;Continu;Afname
1303;;;Continu;Afname
65;;;Continu;Afname
1307;Gebouw;Kinderdagverblijf/BKO/IBO;Continu;Afname
645;Gebouw;Administratief centrum;Continu;Afname
646;;;Continu;Afname
314;Gebouw;Administratief centrum;Continu;Afname
648;Gebouw;Administratief centrum;Continu;Afname
315;Gebouw;Museum;Continu;Afname
1319;Gebouw;Sporthal;Continu;Afname
1322;Gebouw;Lagere school;Continu;Afname
652;;;Continu;Afname
317;Gebouw;Andere gebouwen;Continu;Afname
654;;;Continu;Afname
318;Gebouw;Bibliotheek;Continu;Afname
1331;Gebouw;Cultureel centrum;Continu;Afname
657;;;Continu;Afname
658;Gebouw;Ontmoetingscentrum;Continu;Afname
67;;;Continu;Afname
660;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
321;;;Continu;Afname
1343;Gebouw;Academie;Continu;Afname
1346;Gebouw;Administratief centrum;Continu;Afname
664;Gebouw;Stadion;Continu;Afname
1350;Gebouw;Cultureel centrum;Continu;Afname
666;Gebouw;Andere gebouwen;Continu;Afname
26;;;Continu;Afname
668;;;Continu;Afname
325;Gebouw;Ontmoetingscentrum;Continu;Afname
670;Gebouw;Sportcomplex;Continu;Afname
1362;Gebouw;Kinderdagverblijf/BKO/IBO;Continu;Afname
672;Gebouw;Cultureel centrum;Continu;Afname
1366;Andere;Kast;Continu;Afname
674;Andere;Kast;Continu;Afname
69;Andere;Kast;Continu;Afname
1372;Andere;Kast;Continu;Afname
1374;Andere;Kast;Continu;Afname
1376;Gebouw;Andere gebouwen;Continu;Afname
1378;Gebouw;Andere gebouwen;Continu;Afname
680;;;Continu;Afname
331;;;Continu;Afname
682;;;Continu;Afname
18;Gebouw;Bibliotheek;Continu;Afname
684;Terrein;Voetbalveld;Continu;Afname
685;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1391;Gebouw;Ontmoetingscentrum;Continu;Afname
334;Gebouw;Academie;Continu;Afname
1395;;;Continu;Afname
335;Gebouw;Zwembad;Continu;Afname
1399;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
159;Gebouw;Andere gebouwen;Continu;Afname
1403;;;Continu;Afname
1406;Gebouw;Zwembad;Continu;Afname
1407;;;Continu;Afname
338;;;Continu;Afname
1411;Gebouw;Administratief centrum;Continu;Afname
697;Gebouw;Administratief centrum;Continu;Afname
1415;Gebouw;Administratief centrum;Continu;Afname
72;;;Continu;Afname
1419;Gebouw;Administratief centrum;Continu;Afname
701;Gebouw;Cultureel centrum;Continu;Afname
1423;Andere;Kast;Continu;Afname
1427;;;Continu;Afname
705;;;Continu;Afname
1431;Gebouw;Sporthal;Continu;Afname
73;;;Continu;Afname
1435;;;Continu;Afname
